graphics_card,component,manufacturing_ADPe,manufacturing_ADPf,manufacturing_AP,manufacturing_CTUe,manufacturing_CTUh_c,manufacturing_CTUh_nc,manufacturing_Epf,manufacturing_Epm,manufacturing_Ept,manufacturing_GWP,manufacturing_GWPb,manufacturing_GWPf,manufacturing_GWPlu,manufacturing_IR,manufacturing_LU,manufacturing_ODP,manufacturing_PM,manufacturing_POCP,manufacturing_WU,manufacturing_MIPS,manufacturing_DEEE,manufacturing_TPE,transport_ADPe,transport_ADPf,transport_AP,transport_CTUe,transport_CTUh_c,transport_CTUh_nc,transport_Epf,transport_Epm,transport_Ept,transport_GWP,transport_GWPb,transport_GWPf,transport_GWPlu,transport_IR,transport_LU,transport_ODP,transport_PM,transport_POCP,transport_WU,transport_MIPS,transport_DEEE,transport_TPE,use_ADPe,use_ADPf,use_AP,use_CTUe,use_CTUh_c,use_CTUh_nc,use_Epf,use_Epm,use_Ept,use_GWP,use_GWPb,use_GWPf,use_GWPlu,use_IR,use_LU,use_ODP,use_PM,use_POCP,use_WU,use_MIPS,use_DEEE,use_TPE,end_of_life_ADPe,end_of_life_ADPf,end_of_life_AP,end_of_life_CTUe,end_of_life_CTUh_c,end_of_life_CTUh_nc,end_of_life_Epf,end_of_life_Epm,end_of_life_Ept,end_of_life_GWP,end_of_life_GWPb,end_of_life_GWPf,end_of_life_GWPlu,end_of_life_IR,end_of_life_LU,end_of_life_ODP,end_of_life_PM,end_of_life_POCP,end_of_life_WU,end_of_life_MIPS,end_of_life_DEEE,end_of_life_TPE
NVIDIA GeForce GTX 1080 Ti,casing,0.000151,40.6,0.019,159,0.000000013,0.0000013,0.0000176,0.00196,0.0217,2.15,0.0104,2.14,2.93E-10,2.28,0.0773,0.000000516,0.00000012,0.00732,1.36,,0,41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,heatsink,0.000842,22.6,0.106,116,0.0000114,0.00000145,0.000796,0.00185,0.0224,1.73,0.135,1.6,0.000000805,173,1.9,0.000000419,0.000000644,0.0126,5.25,,0,25.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,printed_wiring_board,0.00277,164,0.085,158,0.00000000428,0.000000227,0.0000314,0.00762,0.0813,10.2,0.0014,10.2,0.0000000394,23.5,0.0323,0.00000149,0.000000451,0.0299,3.61,,0,166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,graphics_processing_unit,0.000000714,338,0.143,330,0.00000000242,0.00000014,0.0000805,0.0172,0.179,25.9,0.0159,25.9,0,0.217,0.103,0.0000113,0.000000787,0.0561,9.9,,0,345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,video_ram,0.00146,354,0.204,387,0.00000000466,0.000000304,0.0000443,0.0216,0.228,32.9,0.00509,32.9,0,0.595,0,0.0000044,0.00000112,0.0757,6.76,,0,369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,upstream_transport,0.00000000938,3.33,0.00159,0.161,4.26E-12,5.28E-10,0.0000000894,0.000751,0.00824,0.239,0,0.239,0,0.000581,0,3.65E-10,0.0000000138,0.00209,0.000905,,0,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,end_of_life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000000531,15.3,0.0314,804,0.00000000268,0.000000236,0.0000202,0.0221,0.0119,1.17,0.0754,1.1,0,0.112,6.15,0.000000116,0.0000000758,0.00463,429,,0.881,17.3
NVIDIA RTX A4500,casing,0.0000582,73.2,0.00947,16.6,5.16E-10,0.0000000584,0.00000161,0.0011,0.012,1.64,0.00256,1.64,7.1E-10,2.32,"-2,26E-02",0.000000104,0.000000077,0.00464,0.533,,0,73.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA RTX A4500,heatsink,0.000151,164,0.0991,1030,0.00000205,0.000000318,0.000194,0.00686,0.0755,9.54,0.366,9.17,0.000000144,36.3,0.339,0.00000186,0.000000783,0.026,2.93,,0,174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA RTX A4500,printed_wiring_board,0.00278,129,0.0674,125,0.00000000378,0.000000224,0.0000291,0.006,0.0639,7.96,0.000791,7.96,0.0000000375,6.11,0.0314,0.00000115,0.000000354,0.0234,3.08,,0,135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA RTX A4500,graphics_processing_unit,0.00000139,657,0.277,642,0.00000000471,0.000000272,0.000157,0.0334,0.348,50.3,0.0296,50.3,0,0.422,0.201,0.000022,0.00000153,0.109,17.2,,0,670,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA RTX A4500,video_ram,0.00133,322,0.185,352,0.00000000423,0.000000276,0.0000402,0.0196,0.207,29.9,0.00463,29.9,0,0.541,0,0.000004,0.00000102,0.0689,6.14,,0,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA RTX A4500,upstream_transport,0.00000000994,3.52,0.00169,0.17,4.52E-12,5.59E-10,0.0000000947,0.000796,0.00873,0.253,0,0.253,0,0.000615,0,3.87E-10,0.0000000146,0.00221,0.000959,,0,3.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA RTX A4500,end_of_life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00000325,17.6,0.0146,347,0.00000000433,0.0000000943,0.000017,0.00838,0.0122,1.32,0.0579,1.26,0,0.215,6.66,0.000000111,0.0000000705,0.00382,454,,1.06,19.4
NVIDIA TITAN RTX,casing,0.000138,306,0.026,34.4,0.00000000305,0.000000151,0.00000422,0.00345,0.0375,5.51,0.00888,5.5,0.0000402,3.65,0.0822,0.00000021,0.000000172,0.0141,1.87,,0,307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA TITAN RTX,heatsink,0.000106,2.85,0.0133,14.6,0.00000144,0.000000183,0.0001,0.000233,0.00281,0.218,0.0169,0.201,0.000000101,21.7,0.239,0.0000000527,0.000000081,0.00159,0.66,,0,3.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA TITAN RTX,printed_wiring_board,0.00383,201,0.108,200,0.00000000648,0.00000035,0.0000485,0.00981,0.105,13.3,0.000884,13.3,0.0000000605,3.82,0.0538,0.00000187,0.000000567,0.0377,5,,0,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA TITAN RTX,graphics_processing_unit,0.00000187,884,0.373,864,0.00000000634,0.000000366,0.000211,0.0449,0.468,67.7,0.0399,67.7,0,0.567,0.27,0.0000296,0.00000206,0.147,23.2,,0,902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
